Vertex | DFS | Stack
   2    |  1  | 2 
   4    |  2  | 2 4 
   5    |  3  | 2 4 5 
   1    |  4  | 2 4 5 1 
   9    |  5  | 2 4 5 1 9 
   8    |  6  | 2 4 5 1 9 8 
   3    |  7  | 2 4 5 1 9 8 3 
   3   |  -  | 2 4 5 1 9 8 
   8   |  -  | 2 4 5 1 9 
   9   |  -  | 2 4 5 1 
   1   |  -  | 2 4 5 
   10    |  8  | 2 4 5 10 
   10   |  -  | 2 4 5 
   5   |  -  | 2 4 
   4   |  -  | 2 
   2   |  -  | 

Vertex | DFS | Stack
   2    |  1  | 2 
   4    |  2  | 2 4 
   5    |  3  | 2 4 5 
   1    |  4  | 2 4 5 1 
   9    |  5  | 2 4 5 1 9 
   8    |  6  | 2 4 5 1 9 8 
   3    |  7  | 2 4 5 1 9 8 3 
   3   |  -  | 2 4 5 1 9 8 
   8   |  -  | 2 4 5 1 9 
   9   |  -  | 2 4 5 1 
   1   |  -  | 2 4 5 
   10    |  8  | 2 4 5 10 
   10   |  -  | 2 4 5 
   5   |  -  | 2 4 
   4   |  -  | 2 
   2   |  -  | 

Vertex | DFS | Stack
   3    |  1  | 3 
   8    |  2  | 3 8 
   4    |  3  | 3 8 4 
   2    |  4  | 3 8 4 2 
   2   |  -  | 3 8 4 
   4   |  -  | 3 8 
   5    |  5  | 3 8 5 
   1    |  6  | 3 8 5 1 
   9    |  7  | 3 8 5 1 9 
   9   |  -  | 3 8 5 1 
   1   |  -  | 3 8 5 
   10    |  8  | 3 8 5 10 
   10   |  -  | 3 8 5 
   5   |  -  | 3 8 
   8   |  -  | 3 
   3   |  -  | 

Vertex | DFS | Stack
   2    |  1  | 2 
   4    |  2  | 2 4 
   5    |  3  | 2 4 5 
   1    |  4  | 2 4 5 1 
   9    |  5  | 2 4 5 1 9 
   8    |  6  | 2 4 5 1 9 8 
   3    |  7  | 2 4 5 1 9 8 3 
   3   |  -  | 2 4 5 1 9 8 
   8   |  -  | 2 4 5 1 9 
   9   |  -  | 2 4 5 1 
   1   |  -  | 2 4 5 
   10    |  8  | 2 4 5 10 
   10   |  -  | 2 4 5 
   5   |  -  | 2 4 
   4   |  -  | 2 
   2   |  -  | 

Vertex | DFS | Stack
   10    |  1  | 10 
   1    |  2  | 10 1 
   5    |  3  | 10 1 5 
   4    |  4  | 10 1 5 4 
   2    |  5  | 10 1 5 4 2 
   2   |  -  | 10 1 5 4 
   4   |  -  | 10 1 5 
   8    |  6  | 10 1 5 8 
   3    |  7  | 10 1 5 8 3 
   3   |  -  | 10 1 5 8 
   8   |  -  | 10 1 5 
   9    |  8  | 10 1 5 9 
   9   |  -  | 10 1 5 
   5   |  -  | 10 1 
   1   |  -  | 10 
   10   |  -  | 

